1. open,2. high,3. low,4. close,5. volume
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4900,0.4900,0.4900,0.4900,0
0.4875,0.4875,0.4875,0.4875,6000
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,300
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,0
0.4600,0.4600,0.4600,0.4600,300
0.4400,0.4400,0.4400,0.4400,0
0.4400,0.4400,0.4400,0.4400,25
0.4400,0.4400,0.4400,0.4400,0
0.4400,0.4400,0.4400,0.4400,0
0.4400,0.4400,0.4400,0.4400,0
0.4400,0.4400,0.4400,0.4400,5000
0.4300,0.4300,0.4300,0.4300,0
0.4300,0.4300,0.4300,0.4300,0
0.4300,0.4300,0.4300,0.4300,0
0.4300,0.4300,0.4300,0.4300,1500
0.4000,0.4000,0.4000,0.4000,0
0.4000,0.4000,0.4000,0.4000,15000
0.4000,0.4000,0.4000,0.4000,10000
0.4300,0.4300,0.4300,0.4300,30000
0.4200,0.4200,0.4200,0.4200,6000
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5500,0.5500,0.5500,0.5500,0
0.5530,0.5530,0.5530,0.5530,2000
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,0
0.6100,0.6100,0.6100,0.6100,4050
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6760,0.6760,0.6760,0.6760,160
0.6800,0.6800,0.6800,0.6800,0
